彩色甜椒	全買大賣場	雲林縣斗六市鎮南路246號	103/1	賽座滅Cyazofamid 0.04;;菲克利Hexaconazole 0.03;;百利普芬yriproxyfen 0.04
茼蒿	愛買	臺中市豐原區水源路420號	103/1	氟比來Fluopicolide 1.59
善美的牛心番茄	全聯實業股份有限公司台中學士分公司	臺中市學士路261號	103/1	芬普尼Fipronil 0.002
牛心番茄	全聯實業股份有限公司	臺中市北區民權路466號	103/1	待克利Difenoconazole0.24;;芬普尼Fipronil 0.036;;亞賜圃Isoprothiolane0.16
茄子	全聯實業股份有限公司台中嶺東分公司	臺中市南屯區文心里嶺東路690;;700號	103/1	菲克利Hexaconazole 0.04
四季豆	?志有限公司	臺中市南屯區寶山里忠勇路105-27號	103/1	嘉保信Oxycarboxin 0.08
芹菜	竹北國小	新竹縣竹北市中央路98號	103/1	達滅芬(Dimethomorph ) 0.16
小白菜	惠康百貨有限公司羅東店	宜蘭縣羅東鎮站前路18號	103/1	樂滅草Oxadiazon 0.02
大白菜	悟饕便當	宜蘭縣冬山鄉義成路3段327號	103/1	雙特松Dicrotophos 1.80;;福多寧Flutolanil 0.70
青蔥	新秀地區農會	花蓮縣新城鄉北埔村樹人街2號	103/1	達滅芬Dimethomorph 0.04
甜椒-紅色	長青果菜行	花蓮縣吉安鄉果菜市場	103/2	芬普?Fenpyroximate 0.02;;芬普尼Fipronil 0.003;;得芬瑞Tebufenpyrad 0.07
甜椒	國軍屏東副食品供應站	屏東縣屏東市勝利路332號	103/2	芬普尼Fipronil  0.005
小白菜	國軍屏東副食品供應站	屏東縣屏東市勝利路332號	103/2	芬普尼Fipronil 0.025
乾燥玫瑰	大花農場	屏東縣九如鄉九東路118號	103/2	施得圃Pendimethalin 0.08
長年菜	大潤發流通事業股份有限公司嘉義分公司	嘉義市博愛路2段281號	103/2	菲克利Hexaconazole 0.04;;滅芬諾Methoxyfenozide 0.18
菜豆	佳里果菜市場	台南市佳里區祥和三街231巷1號	103/2	芬普尼Fipronil 0.01;;賓克隆Pencycuron 0.04
甜椒	佳里果菜市場	台南市佳里區祥和三街231巷1號33攤	103/2	待克利Difenoconazole 0.2;;氟比來Fluopicolide 0.08;;芬普尼Fipronil 0.006
芭樂	陸軍後勤指揮部副食供應中心	澎湖縣馬公市東衛里129-30號	103/2	新殺?Bromopropylate 0.03
四季豆	大盤百貨有限公司	彰化縣北斗鎮光復里復興路366號	103/2	滅賜克Methiocarb 0.05;;嘉保信Oxycarboxin 0.04;;芬普尼Fipronil 0.027
辣椒	保證責任彰化縣田尾果菜生產合作社	彰化縣田尾鄉海豐村光華巷110號	103/2	芬普尼Fipronil 0.002
青江菜	保證責任彰化縣田尾果菜生產合作社	彰化縣田尾鄉海豐村光華巷110號	103/2	雙特松Dicrotophos 0.22
四季豆	善美超市，金大村(股)公司大雅營業所	臺中市大雅區神林南路197巷46號	103/2	嘉保信Oxycarboxin 0.28
棗子	家樂福	臺中市東區復興路4段186號	103/2	普硫松Prothiofos 0.28
柳丁	陸軍後勤指揮部副食供應中心大林副供站	雲林縣古坑鄉崁腳村7鄰崁腳巷12之47號	103/2	護矽得Flusilazole   0.09
胡蘿蔔	陸軍後勤指揮部副食供應中心大林副供站	雲林縣古坑鄉崁腳村7鄰崁腳巷12之47號	103/2	陶斯松Chlorpyrifos   0.07
小白菜	北海道生鮮超市	高雄市湖內區保生路131號	103/2	待克利Difenoconazole 0.179
空心菜	隆順商店	連江縣南竿鄉介壽村362號	102/7	百克敏 Pyraclostrobin 0.20
洋蔥	自由聯盟	新竹縣湖口鄉勝利路二段72號	102/7	陶斯松 Chlorpyrifos 0.02
莧菜	高冷蔬菜專賣店	台東縣關山公有市場果菜類7號	102/7	氟比來Fluopicolide 0.12
苦瓜	大甲區蔬菜第11產銷班集貨場	台中市大甲區東西七路一段8號	102/7	陶斯松Chlorpyrifos 0.07
香水蓮花茶	泓江貿易商行	花蓮市酒廠販賣部固攤	102/7	納乃得Methomyl 0.41
